movie_id,rank,title,m_runtime,year,rating,votes
tt5304992,252,Set It Up,1h 45m,2018,6.5,68000
tt4244998,253,Alpha,1h 36m,2018,6.6,68000
tt6772950,254,Truth or Dare,1h 40m,2018,5.2,68000
tt4687108,255,In the Tall Grass,1h 41m,2019,5.5,67000
tt1298644,256,The Hustle,1h 33m,2019,5.5,67000
tt7043012,257,Velvet Buzzsaw,1h 53m,2019,5.7,67000
tt1165520,258,Riders of Justice,1h 56m,2020,7.5,67000
tt2388771,259,Mowgli: Legend of the Jungle,1h 44m,2018,6.5,67000
tt3892172,260,Leave No Trace,1h 49m,2018,7.1,67000
tt6908274,261,Mirage,2h 8m,2018,7.4,66000
tt9052870,262,Chhichhore,2h 23m,2019,8.3,66000
tt6742252,263,The Guilty,1h 25m,2018,7.5,66000
tt1288846,264,My Octopus Teacher,1h 25m,2020,8.1,66000
tt8526872,265,Dolemite Is My Name,1h 58m,2019,7.2,66000
tt8239946,266,Tumbbad,1h 48m,2018,8.2,65000
tt6398184,267,Downton Abbey,2h 2m,2019,7.4,65000
tt9214832,268,Emma.,2h 4m,2020,6.7,65000
tt8784956,269,Ava,1h 36m,2020,5.5,65000
tt8291806,270,Pain and Glory,1h 53m,2019,7.5,64000
tt5610554,271,Tully,1h 35m,2018,6.9,64000
tt7374948,272,Always Be My Maybe,1h 41m,2019,6.7,64000
tt0385887,273,Motherless Brooklyn,2h 24m,2019,6.8,64000
tt6306064,274,Adrift,1h 36m,2018,6.6,63000
tt6452574,275,Sanju,2h 35m,2018,7.6,63000
tt6543652,276,Cold War,1h 29m,2018,7.5,63000
tt8110640,277,In the Shadow of the Moon,1h 55m,2019,6.2,63000
tt1068226,278,Hubie Halloween,1h 43m,2020,5.3,62000
tt6217306,279,Apostle,2h 10m,2018,6.3,61000
tt7958736,280,Ma,1h 39m,2019,5.6,61000
tt0983946,281,Fantasy Island,1h 49m,2020,4.9,60000
tt5246700,282,How It Ends,1h 53m,2018,5.1,60000
tt7347846,283,The Lodge,1h 48m,2019,6.0,60000
tt4463894,284,Shaft,1h 51m,2019,6.4,60000
tt5834262,285,Hotel Artemis,1h 34m,2018,6.1,60000
tt4913966,286,The Curse of La Llorona,1h 33m,2019,5.3,60000
tt9426210,287,Weathering with You,1h 52m,2019,7.5,60000
tt6820256,288,Arctic,1h 38m,2018,6.8,59000
tt5073642,289,Color Out of Space,1h 51m,2019,6.2,59000
tt1838556,290,Honest Thief,1h 39m,2020,6.0,59000
tt1035092,291,Laxmii,2h 21m,2020,2.5,59000
tt5968394,292,Captive State,1h 49m,2019,6.0,59000
tt7504726,293,The Call of the Wild,1h 40m,2020,6.7,59000
tt3201640,294,Extinction,1h 35m,2018,5.8,59000
tt1051422,295,Ma Rainey's Black Bottom,1h 34m,2020,6.9,59000
tt5814534,296,Spies in Disguise,1h 42m,2019,6.8,59000
tt6791096,297,I Feel Pretty,1h 50m,2018,5.7,58000
tt8663516,298,Child's Play,1h 30m,2019,5.7,58000
tt1043150,299,Miracle in Cell No. 7,2h 12m,2019,8.2,58000
tt5116302,300,Togo,1h 53m,2019,7.9,57000
tt6491178,301,Dragged Across Concrete,2h 39m,2018,6.9,57000
tt1116147,302,Pieces of a Woman,2h 6m,2020,7.0,57000
tt4595882,303,Can You Ever Forgive Me?,1h 46m,2018,7.1,57000
tt0800325,304,The Dirt,1h 47m,2019,7.0,57000
tt5697572,305,Cats,1h 50m,2019,2.8,57000
tt2119543,306,The House with a Clock in Its Walls,1h 45m,2018,6.1,57000
tt2328900,307,Mary Queen of Scots,2h 4m,2018,6.3,56000
tt5431890,308,Official Secrets,1h 52m,2019,7.3,56000
tt7825208,309,Marighella,2h 35m,2019,7.1,56000
tt7668842,310,Enes Batur: Imagination or Reality?,1h 50m,2018,2.0,56000
tt7549996,311,Judy,1h 58m,2019,6.8,56000
tt9777644,312,Da 5 Bloods,2h 34m,2020,6.5,56000
tt5865326,313,The Laundromat,1h 36m,2019,6.3,56000
